Countries,Province/State,date,confirmed,recovered,deaths,CHE_per_capita,CHE_prop_GDP,DOM_prop_CHE,OOPS_prop_CHE,GGHE_prop_GDP,GGHE_per_capita,PVT_per_capita,OOPS_per_capita,GOV_SUB_INS,GGE,Lat,Long,Country Income Group
Albania,NA,2020-03-22,89,2,2,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-23,104,2,4,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-24,123,10,5,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-25,146,17,5,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-26,174,17,6,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-27,186,31,8,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-28,197,31,10,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-29,212,33,10,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-30,223,44,11,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-31,243,52,15,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-01,259,67,15,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-02,277,76,16,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-03,304,89,17,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-04,333,99,20,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-05,361,104,20,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-06,377,116,21,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-07,383,131,22,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-08,400,154,22,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-09,409,165,23,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-10,416,182,23,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-11,433,197,23,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-12,446,217,23,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-13,467,232,23,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-14,475,248,24,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-15,494,251,25,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-16,518,277,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-17,539,283,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-18,548,302,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-19,562,314,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-04-20,584,327,26,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
